sample-id	treatment_group	batch	seq_depth_category	size_category	length_category	sample-name	library-name	bioproject	biosample	library-strategy	library-source	library-layout	platform	model	spots	bases	avg-length	size-mb	source
SRR32507939	High_Numbers	Range_30s	Low	Small	Long_301	a18	36_S75_L001_R1_001	PRJNA1229183	SAMN47125267	AMPLICON	METAGENOMIC	SINGLE	ILLUMINA	Illumina MiSeq	24831	7474131	301	4	Wastewater
SRR32507940	High_Numbers	Range_30s	Low	Small	Long_301	a17	35_S74_L001_R1_001	PRJNA1229183	SAMN47125266	AMPLICON	METAGENOMIC	SINGLE	ILLUMINA	Illumina MiSeq	33170	9984170	301	5	Wastewater
SRR32507941	High_Numbers	Range_30s	Low	Small	Long_301	a16	34_S73_L001_R1_001	PRJNA1229183	SAMN47125265	AMPLICON	METAGENOMIC	SINGLE	ILLUMINA	Illumina MiSeq	17580	5291580	301	3	Wastewater
SRR32507942	Mid_Numbers	Range_20s	Medium	Medium	Long_301	a15	27_S66_L001_R1_001	PRJNA1229183	SAMN47125264	AMPLICON	METAGENOMIC	SINGLE	ILLUMINA	Illumina MiSeq	72780	21906780	301	12	Wastewater
SRR32507943	Mid_Numbers	Range_20s	High	Medium	Long_301	a14	26_S65_L001_R1_001	PRJNA1229183	SAMN47125263	AMPLICON	METAGENOMIC	SINGLE	ILLUMINA	Illumina MiSeq	109102	32839702	301	18	Wastewater
SRR32507944	Mid_Numbers	Range_20s	Medium	Small	Long_301	a13	25_S64_L001_R1_001	PRJNA1229183	SAMN47125262	AMPLICON	METAGENOMIC	SINGLE	ILLUMINA	Illumina MiSeq	50948	15335348	301	8	Wastewater
SRR32507945	Low_Numbers	Range_10s	High	Large	Long_301	a12	18_S57_L001_R1_001	PRJNA1229183	SAMN47125261	AMPLICON	METAGENOMIC	SINGLE	ILLUMINA	Illumina MiSeq	164024	49371224	301	27	Wastewater
SRR32507946	Low_Numbers	Range_10s	Very_High	Large	Long_301	a11	17_S56_L001_R1_001	PRJNA1229183	SAMN47125260	AMPLICON	METAGENOMIC	SINGLE	ILLUMINA	Illumina MiSeq	207529	62466229	301	30	Wastewater
SRR32507947	Low_Numbers	Range_10s	High	Medium	Long_301	a2	11_S50_L001_R1_001	PRJNA1229183	SAMN47125251	AMPLICON	METAGENOMIC	SINGLE	ILLUMINA	Illumina MiSeq	124139	37365839	301	20	Wastewater
SRR32507948	Low_Numbers	Range_10s	Low		Long_301	a1	10_S49_L001_R1_001	PRJNA1229183	SAMN47125250	AMPLICON	METAGENOMIC	SINGLE	ILLUMINA	Illumina MiSeq	331	99631	301	0	Wastewater
