pathway	SRR32507895	SRR32507896	SRR32507898	SRR32507899	SRR32507900	SRR32507901	SRR32507902	SRR32507903	SRR32507904	SRR32507905	SRR32507906	SRR32507907	SRR32507909	SRR32507910	SRR32507911	SRR32507912	SRR32507913	SRR32507914	SRR32507915	SRR32507916	SRR32507917	SRR32507918	SRR32507920	SRR32507921	SRR32507922	SRR32507931	SRR32507932
PWY-7480	3786.7015056444693	4047.957460934037	8688.930852380372	3203.8467623437514	11563.39496441995	12245.955979278877	7294.066421490304	5114.236045816315	6806.114270224141	6205.92357184601	7397.222409955982	6062.306708403519	4861.007963075119	8929.445784700332	17880.865475786926	6201.820673589736	3082.7647661868796	6477.127127253788	2945.5680562370826	9113.977518593689	8791.364380375062	2530.4453633727744	10206.319749311268	8159.552249401147	6570.927027665261	3836.5322270467022	6650.568815716839
PWY-7511	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.411288872910305	0.0
PWY-7560	43971.20628073033	52314.026973817985	63903.44723202907	36831.07670444732	89394.47478696177	83246.07701222508	74839.18933416557	64054.75490767005	80710.45093899644	70553.51709847395	83251.18725627661	50579.7380443313	49196.0149542631	64736.80581208887	102383.81666195545	65025.448246839434	48046.29491655097	85176.81679518518	41274.095070524374	86085.15850796415	46196.66632530817	22960.06365520246	69810.15632675633	52270.30390577312	60684.662804577696	49781.15817479923	80926.77486281456
PWY-7574	272.03278893317594	0.0	0.0	0.0	1114.6647421436487	0.0	0.0	117.47505776493465	14.9569850817076	568.1848474883899	233.9932564680574	0.0	0.0	498.8711046617443	0.0	546.964710520983	172.48503958216975	0.0	276.7656091856966	267.09427768389355	0.0	0.0	322.8655160776843	0.0	199.3560480597993	0.0	576.1197048159589
PWY-7579	0.0	0.0	0.0	0.0	25.17661155356434	1483.8374871969957	54.04138362007638	0.0	0.0	0.0	404.08297618745723	0.0	0.0	0.0	103.61208893836606	27.687400318979268	0.0	0.0	35.838	5.328795533102898	0.0	0.0	0.0	423.6884413623408	0.0	0.0	0.0
PWY-762	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	209.1211887712046	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-7644	0.0	0.0	13.875529743508887	0.0	0.0	0.0	0.0	13.97469882181082	0.0	0.0	118.9482127930962	5.872962176890925	148.35062948360826	7.981665080560127	0.0	13.949535582271826	3.9969797870820463	0.0	0.0	137.13556181816102	0.0	0.0	11.967973374484648	0.0	0.0	0.0	0.0
PWY-7654	29.829261906714986	228.2969627686223	0.0	0.0	347.74460300044245	0.0	165.64245473452092	91.97388092935107	83.47601635059137	38.69350599571456	20.97778718940627	5.989214552958874	272.46366137688096	44.744457903289955	0.0	207.57177210311602	396.8600550834272	0.0	0.0	247.65111860958433	0.0	424.6190117816933	256.3193682120446	0.0	176.40469163294142	0.0	0.0
PWY-7663	73939.7328473849	88216.63164469958	92694.47539754809	74953.02193108822	153442.08635768504	132226.24640141	137201.01127788433	99475.73584348147	118141.1600602477	115551.461129776	144929.76081083354	73857.87701982234	101328.80979465818	114583.33707560279	151925.25142553527	115209.29546477793	74554.65694816501	122695.48721114823	67354.63405081608	144623.02078323613	76625.67875614873	49545.823427540774	123257.8024045688	79971.65551864941	111516.60403527164	75216.86277247942	130986.18576672702
PWY-7674	534.6849220046321	2358.542594168956	353.7931735306939	590.5931363755875	2272.4044795830428	815.4258125112301	2381.6582485148338	2342.2085490429004	1460.2974592573985	1956.7458841299247	4802.532722694968	878.5556037498965	658.7765628530907	1552.2897764574832	1248.6213545200028	2023.5489656038872	1666.956701975929	296.3569109540899	829.5320691864073	3341.2185825905863	734.9059766515724	407.62448307042234	2714.5930085299196	873.3573586178658	1241.0272126219477	1872.6955516016967	945.4460386762037
PWY-7761	37912.61163036856	46128.852862161504	49663.61059680741	34818.25301637535	84265.34352213285	65036.97468810199	69760.76674461497	51585.20009232946	65421.111646707795	61872.18382632008	73861.80093290136	40287.81998495668	48190.67585043397	62108.94258173786	83815.42387998622	60455.67285003769	40531.84314188663	70338.03556862903	36918.6576934346	77247.70072624127	39472.42463699691	25084.956813215227	68246.15641986577	41784.705046270086	55636.36623637683	40378.22402766453	70004.51482362994
PWY-7783	8096.531347208185	11771.388469928012	10165.040925255347	5364.2697826233325	17019.559922162873	8525.27757531192	12324.972995432265	9948.300855052265	9975.455709447057	12836.329275486212	18525.90311863028	7854.967186175302	9943.580172857006	12206.16253390141	10307.666017617777	9932.426810825644	8011.884677670703	8697.664462783327	7987.775808161351	19471.28591813451	8452.91243579743	3088.685725188412	12854.996083605625	6009.498269973709	8262.157103743531	7154.6702585915	9171.198373581812
PWY-7784	254.8554152171954	910.7910191123881	1647.9938051929482	2096.957256190707	8834.225906969528	2811.0621651376887	6793.663838772983	1050.0342857407345	0.0	47.655743319106854	1857.0712411271602	436.7724105243802	1410.680788606154	7056.489702110627	3605.163323356494	5896.214336361462	767.8366407661481	35.25711276408132	177.12872966264524	1075.2255778417473	805.4454853406227	1167.1274001548118	6907.441915272595	1597.953632728042	7063.020117656646	461.79973198877934	141.9920888858246
PWY-7787	281.33113345577937	347.86092241758723	130.32189973614777	544.7597088570833	211.04404788968634	17.669345815264084	317.1114078512962	214.33319903303789	149.9960905939691	545.1044424534665	262.20176328313954	296.99567145834453	607.3991367501486	411.4974711171293	1738.2550881652307	264.83210510520524	365.1676394269017	263.14672031584274	431.4222991705424	592.5689297697587	91.99741008104316	347.7994929707306	457.03765234082704	263.2069222009231	349.80530933828453	442.28581002645905	62.717519828348976
PWY-7790	55803.46631348813	69053.89112389878	74589.28926337109	51509.7821941498	111503.73158449918	98636.08655081094	95193.40830543415	77744.00725389006	94772.73510856465	86048.40391904957	112578.72691339847	59402.85689145732	70234.22842213254	82450.94216534591	121441.14670186806	81393.46261779498	60388.10240338568	100158.81470645312	51721.058843673454	113898.52144616765	56603.73873375701	36546.345693578754	89742.93419799917	61060.79585761329	76209.29200278052	62151.30141296158	98351.5910561811
PWY-7791	55803.46631348813	69053.89112389878	74589.28926337109	51509.7821941498	111503.73158449918	98636.08655081094	95193.40830543415	77744.00725389006	94772.73510856465	86048.40391904957	112578.72691339847	59402.85689145732	70234.22842213254	82450.94216534591	121441.14670186806	81393.46261779498	60388.10240338568	100158.81470645312	51721.058843673454	113898.52144616765	56603.73873375701	36546.345693578754	89742.93419799917	61060.79585761329	76209.29200278052	62151.30141296158	98351.5910561811
PWY-7805	7557.192355686084	6448.662962730799	5125.502231516699	12003.610301061315	11863.205924807356	11843.673101553755	14137.894211892171	6437.706135135851	11316.539446257519	12701.445849397202	8976.58591393538	6639.943187125473	15624.490512458557	10516.106886451125	14278.540476575425	12623.795702214793	3944.765975017812	9937.938493601661	6992.949203075766	13119.009304706322	9342.045210234084	7219.7338137526585	9349.055076594846	7902.922804017824	12597.346779627887	3403.2369746262457	13877.206787316585
PWY-7807	8904.155191246007	8323.795985640043	8146.47068939925	13834.031678654426	15352.42656014517	16956.514173170217	17590.821382370967	8286.26816331341	15923.482810544403	14993.060576040976	12515.47519099969	9006.226541517775	18338.49347105466	13088.422657249143	20947.687385472833	15678.518507488348	5004.447099035557	13190.424999174646	8757.05598957923	17188.198618943887	12252.421880344737	8641.561122757304	11742.042286228594	11082.968249554364	15341.11308548978	4377.589824079553	18926.84186130714
PWY-7820	4674.677738623366	8051.741321698841	9170.859101424618	3422.501711467446	13476.967338451454	1580.8024969449427	6874.884842868116	5113.572132198162	7499.38804202906	6597.948568219093	12302.349402008987	6833.943306895646	4701.2701567115055	8395.763371580313	4069.2391001533874	5881.621207777894	4491.697095548398	5523.813830235728	4607.953605555834	10479.098537028625	5375.438694669598	1912.9928867932165	8827.17730636011	1308.552410459623	4633.167590061776	3241.244114364369	2942.511638754808
PWY-7851	46188.79454902704	57756.63660128674	63343.104375682015	43385.12319306791	96367.47072251214	82332.41974378804	80101.67165696085	62194.82334741626	76938.23521479846	71958.94727812159	93589.64773747766	50023.14100613242	59410.052728057664	70955.9823706213	101841.58871512118	68834.89883281304	47244.75525445494	82871.63163955226	42517.55290389586	94578.18320790485	48537.8801983559	30102.27664847789	77703.11406985587	51450.44938412277	64350.89393812467	48913.24387074081	80565.79139936046
PWY-7853	0.0	0.0	0.0	0.0	0.0	0.0	0.0	369.24549053680164	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-7854	11881.4371814734	16845.644987409218	18352.41359728547	16319.8416111285	29142.92100808724	13682.205038876902	20576.41729320403	13081.72912767158	17592.43002272221	16193.660535625255	27252.485838584522	13817.290789382876	24037.949908690473	22418.242956704587	13633.78144826867	18191.496650611247	9873.131268273555	16660.08661697179	9880.486704733476	27003.340501239967	16498.15458251246	9318.78556433011	21718.120087619216	8626.78518060089	16603.672585085038	7234.4170408192285	13463.630675559527
PWY-7855	1899.4399592263048	1965.7017708469848	1030.399524021816	3074.476344599328	2524.393610399708	3755.927578126157	2532.910730209564	1616.5479217019324	1851.4600706869332	3025.352776806234	2475.3313724489717	1533.8711541185592	5399.059010569234	3100.4285348365415	6316.472772015872	2101.4872134084712	721.6248575389675	1805.4171090669727	1770.9450170064565	3412.561407429488	2130.9018614338997	1986.5542151265122	3107.3103296041077	2942.3772270834556	2635.2767282443283	1489.3943747415135	2996.518489440388
PWY-7858	5886.432993790419	4948.246358413379	16554.418649276027	4298.6604540510225	2556.5092032519797	29504.486763054043	3607.326621500647	4593.377834106443	25802.619290140414	9433.946376509462	7350.139174598069	9787.643888278431	7396.259055705019	1677.595935094931	36695.28793207756	2120.415853645128	2801.094103261662	27232.691033385174	6118.702413728033	4763.896435480648	8955.675475207638	5688.642489699921	2542.2563425459653	20063.14373868287	1871.0720283955645	4394.850010872107	24850.40751173596
PWY-7873	6086.270578337829	7962.964112331026	8539.084542931745	4685.042868952314	14177.908189445196	8535.184249271437	10484.745536364988	5808.033646207068	10170.355500561207	10040.13001777366	11056.376262233887	6624.118361587203	8851.389844569958	10308.525105842498	14609.571749303997	9102.401201176532	3955.7256898670817	9175.894730313243	6033.159856876904	12204.087137365457	6528.687999849862	2892.27083341907	10898.377399251789	5948.173509713993	7575.674795466377	3403.1117638833516	8821.693209140862
PWY-7874	6787.135435506049	7825.978477999135	9990.286622999374	4414.574447638105	15781.976383911062	16424.615520344447	13918.850637864603	7027.650978852055	16637.808901398228	11666.43447840045	11963.182361268624	7429.694721543776	8342.841175663769	10745.9424531621	21308.956209501517	12436.562871216154	5320.340219765324	17874.468122119364	6432.780292750287	12966.618185529285	7422.67249649926	2947.6203520367235	11310.91394914682	10275.616037880358	10748.659395600966	3757.7228979564343	17446.155017005254
